id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-OM-cs-001	عِنْدِي meeting مُهِمّ مَع الْمُدِير بُكْرَة	عندي meeting مهم مع المدير بكرة	ˈʕindiː miːtinɡ muˈhimm ˈmaʕ almuˈdiːr ˈbukra	I have an important meeting with the manager tomorrow	meeting	[work] meeting→miːtinɡ (/ŋ/→[nɡ], /iː/; default pan-Arabic table Watson2002/Holes2004). Omani sedentary frame keeps /q/ and unaffricated /k/ (albalushi2016).	pinned
ar-OM-cs-002	لَازِم أَخَلِّص report قَبْل الظُّهُر	لازم أخلص report قبل الظهر	ˈlaːzim ʔaˈxallisˤ ribuːrt ˈqabl ˈɑðˤðˤuhur	I must finish the report before noon	report	[work] report→ribuːrt (/p/→[b], default table). qabl keeps /q/ (albalushi2016 Muscat sedentary); ظ retained /ðˤ/ (albalushi2016 p.87).	pinned
ar-OM-cs-003	نَسِيت password تَبَع email	نسيت password تبع email	naˈsiːt baswuːrd ˈtabaʕ imeːl	I forgot the password of the email	password;email	[tech] password→baswuːrd (/p/→[b]); email→imeːl (/eɪ/→[eː], OM declares /eː/). default table.	pinned
ar-OM-cs-004	laptop تَبَعِي فِيه خَلَل فِي wifi	laptop تبعي فيه خلل في wifi	labtub ˈtabaʕiː ˈfiːh ˈxalal fiː wifi	my laptop has a fault in the wifi	laptop;wifi	[tech] laptop→labtub (/p/→[b], coda cluster); wifi→wifi (all segments native). default table. matrix keeps plain /k/... n/a; no /ki/ affrication triggered.	pinned
ar-OM-cs-005	عِنْدِي appointment عِنْد الدُّكْتُور الْحِين	عندي appointment عند الدكتور الحين	ˈʕindiː abuintmint ˈʕind addukˈtuːr alˈħiːn	I have an appointment at the doctor now	appointment	[work] appointment→abuintmint (/p/→[b]); al-ḥīn 'now' (Gulf/Omani). default table.	pinned
ar-OM-cs-006	بَنْرُوح mall فِي weekend	بنروح mall في weekend	banˈruːħ mal fiː wiːkind	we'll go to the mall on the weekend	mall;weekend	[daily] mall→mal; weekend→wiːkind. b-imperfect future ban-rūḥ; default table.	pinned
ar-OM-cs-007	حَمِّل file وْ سَوِّ update	حمل file و سو update	ˈħammil fil w ˈsawwi abdat	download the file and do an update	file;update	[tech] file→fil; update→abdat (/p/→[b]). imperatives ḥammil / sawwi (Omani sawwā 'do'). default table.	pinned
ar-OM-cs-008	delivery بِيُوصَل بُكْرَة وْ الدَّفْع cash	delivery بيوصل بكرة و الدفع cash	dilifari biˈjuːsˤɑl ˈbukra w adˈdafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari (/v/→[f]); cash→kaʃ. default table.	pinned
ar-OM-cs-009	manager قَال إِنّ project زَين	manager قال إن project زين	manadʒar ˈqaːl ˈʔinn brudʒikt ˈzajn	the manager said the project is good	manager;project	[work] manager→manadʒar (/dʒ/ kept, not Cairene [ɡ]); project→brudʒikt (/p/→[b], /dʒ/ kept). qāl keeps /q/, zayn keeps diphthong ay (albalushi2016). default table.	pinned
ar-OM-cs-010	شُفْت video online	شفت video online	ˈʃuft fidiu unlin	I saw the video online	video;online	[daily] video→fidiu (/v/→[f]); online→unlin. default table.	pinned
ar-OM-cs-011	لَازِم أَحْجِز ticket وْ flight بَدْرِي	لازم أحجز ticket و flight بدري	ˈlaːzim ˈʔaħdʒiz tikit w flajt ˈbadriː	I must book the ticket and flight early	ticket;flight	[travel] ticket→tikit; flight→flajt (/aɪ/→[aj], diphthong retained). default table.	pinned
ar-OM-cs-012	offer زَين بَس service مُو زَين	offer زين بس service مو زين	ufar ˈzajn ˈbas sarfis ˈmuː ˈzajn	the offer is good but the service is not good	offer;service	[commerce] offer→ufar; service→sarfis (/v/→[f], /ɪ/→[i]). mū negator, bas 'only', zayn 'good' (albalushi2016 register). default table.	pinned
ar-OM-cs-013	الْمُوبَايِل تَبَعِي مَا يِشْتِغِل	الموبايل تبعي ما يشتغل	almoːbaːjil ˈtabaʕiː ˈmaː ˈjiʃtiɣil	my mobile doesn't work	مُوبَايِل	[tech] Arabic-script loan mobile→[moːbaːjil] (Gulf/Omani realisation with mid [oː]; Holes2004). Pipeline reads و as [uː]→almuˈːbaːjil (over-length ˈː artifact, WRONG); correct value pinned by hand. mā ... yishtiġil.	known-wrong
ar-OM-cs-014	شُفْت الْخَبَر فِي التِّلِفِزْيُون	شفت الخبر في التلفزيون	ˈʃuft ˈalxabar fiː ttilifizˈjuːn	I saw the news on the television	تِّلِفِزْيُون	[daily] Arabic-script loan television→tilifizjuːn; sun-assimilated article at-t→[tt] (ت is a sun letter). Pipeline output matches the attested realisation → pinned.	pinned
ar-OM-cs-015	السَّيَّارَة فِيهَا بَنْشَر لَازِم نْصَلِّحُه	السيارة فيها بنشر لازم نصلحه	assajˈjaːra ˈfiːhaː ˈbanʃar ˈlaːzim ˈnsˤɑlliħuh	the car has a puncture we must fix	بَنْشَر	[automotive] Arabic-script loan banšar 'tyre puncture' (<Eng. puncture; Gulf loan, Holes2004)→[banʃar]. Pipeline matches attested → pinned.	pinned
