# Gulf cardinals, the values whose word differs from the Standard Arabic oblique form.
# The source teaches Gulf Arabic and its data is Abu Dhabi's, so the table is filed at the group node:
# the specs for the United Arab Emirates, Kuwait, Qatar and Bahrain declare ar-x-gulf as their parent and read it.
# Pronunciation: Hamdi A. Qafisheh, Basic Gulf Arabic, Based on Colloquial Abu Dhabi Arabic, University of Arizona, 1970, glossary, in the book's own transcription.
# Spelling: the form written in the human transcripts of the SADA corpus of Saudi broadcast speech,
# counted whole-word with an optional attached article or conjunction, with that count on the row
# (SADA n). The tokenisation is stated because the three defensible ones differ by more than a factor
# of two on the same spelling, and an unstated method makes a correct count indistinguishable from a
# wrong one.
# value	form	source
11	حدعش	Qafisheh 1970 p. 298 ḥdaʕʃ; SADA n=17
12	ثنعش	Qafisheh 1970 p. 305 θnaʕʃ; SADA n=2
13	ثلاطعش	Qafisheh 1970 p. 305 θalaṭṭaʕʃ; SADA n=8
14	اربعطعش	Qafisheh 1970 p. 293 'arbaʕṭaʕʃ; SADA n=12
15	خمسطعش	Qafisheh 1970 p. 306 xamsṭaʕʃ; SADA n=36
16	سطعش	Qafisheh 1970 p. 303 siṭṭaʕʃ; SADA n=5
17	سبعطعش	Qafisheh 1970 p. 302 sabaʕṭaʕʃ; SADA n=28
18	ثمنطعش	Qafisheh 1970 p. 305 θamanṭaʕʃ; SADA n=18
19	تسعطعش	Qafisheh 1970 p. 304 tisaʕṭaʕʃ; SADA n=11
100	مية	Qafisheh 1970 p. 301 miya; SADA n=2154
200	ميتين	Qafisheh 1970 p. 301 miyateen; SADA n=800
300	ثلاثمية	Qafisheh 1970 p. 305 θalaθmiya; SADA n=177
400	اربعمية	Qafisheh 1970 p. 293 'arbaʕmiya; SADA n=70
500	خمسمية	Qafisheh 1970 p. 306 xamsmiya; SADA n=514
600	ستمية	Qafisheh 1970 p. 303 sitmiya; SADA n=37
700	سبعمية	Qafisheh 1970 p. 302 sabaʕmiya; SADA n=79
800	ثمنمية	Qafisheh 1970 p. 305 θamanmiya; SADA n=16
900	تسعمية	Qafisheh 1970 p. 304 tisiʕmiya; SADA n=110
