id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-IQ-x-qeltu-cs-001	أَرِيد أَبْعَت email لِلْمُدِير هَسَّه	أريد أبعت email للمدير هسه	ʔaˈriːd ˈʔabʕat imeːl lilmuˈdiːr ˈhassah	I want to send an email to the manager now	email	[tech] email→imeːl (mid /eː/ declared in the qeltu inventory, so no refusal). qeltu frame أريد/هسه (jasim2020). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-x-qeltu-cs-002	عِنْدِي meeting مُهِمّ مَعَ manager بَاكِر	عندي meeting مهم مع manager باكر	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒa ˈbaːkiʁ	I have an important meeting with a manager tomorrow	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ], final [ɡ] in inventory); manager→manadʒar (loan /dʒ/ kept — qeltu ǧīm is [dʒ], not the Cairene stop [ɡ]; blanc1964 §3, jasim2020 §2.4). frame باكر with plain /k/, no affrication (jasim2020 §2.9.2). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-003	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fil ˈbass dawnloːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnloud (/aʊ/→[aw]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-x-qeltu-cs-004	laptop مَالِي خَربَان وْ screen مَكْسُور	laptop مالي خربان و screen مكسور	labtub ˈmaːliː xarˈbaːn w sriːn makˈsuːr	my laptop is broken and the screen is cracked	laptop;screen	[tech] laptop→labtub (/p/→[b]); screen→sriːn (/skr/ onset simplified). frame مالي 'my' (Iraqi). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-005	دَفَعْت cash مُو card	دفعت cash مو card	daˈfaʕt kaʃ ˈmuː kaːd	I paid cash not card	cash;card	[commerce] cash→kaʃ; card→kaːrd. negation مو (Iraqi zone). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-x-qeltu-cs-006	شُفْت manager جَوَّة garage	شفت manager جوة garage	ˈʃuft manadʒa ˈdʒawwa ɡaradʒ	I saw a manager inside a garage	manager;garage	[work] manager→manadʒar (loan /dʒ/=[dʒ]); garage→ɡaːradʒ (final /ʒ/→[dʒ], [ɡ] onset in inventory). frame جوّة 'inside' (Iraqi). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-007	printer مُو شَغَّال وْ charger ضَايِع	printer مو شغال و charger ضايع	brinta ˈmuː ʃaɣˈɣaːl w ʃaːdʒa ˈdˤɑːjiʕ	the printer does not work and the charger is lost	printer;charger	[tech] printer→brintar (/p/→[b]); charger→ʃaːrdʒar (/tʃ/→[ʃ], loan /dʒ/ kept). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-008	بَعْد meeting رَاسِي دَايِخ	بعد meeting راسي دايخ	ˈbaʕd miːtinɡ ˈʁaːsiː ˈdaːjix	after a meeting my head is dizzy	meeting	[daily] meeting→miːtinɡ. MUSLAWI r→ʁ: راس 'head' is realised [ʁaːs] in Muslawi Qəltu (blanc1964 §3.24 M/ras/~JC/ɣas/; jasim2020 §2.4, [ʁ] variants of /r/). The reflex is lexically conditioned and unpredictable from the orthography, so the spec documents rather than applies it and the pipeline keeps [r], emitting 'ˈbaʕd miːtinɡ ˈraːsiː ˈdaːjix'; the correct Muslawi form is pinned here with ʁaːsiː. Other /r/ words stay pinned. table: default pan-Arabic	known-wrong
ar-IQ-x-qeltu-cs-009	نَشُوفَك weekend الجَّاي إِنْ شَاءَ الله	نشوفك weekend الجاي إن شاء الله	naˈʃuːfak wiːkind aldʒˈdʒaːj ˈʔin ˈʃaːʔa ˈallah	we will see you next weekend, God willing	weekend	[daily] weekend→wiːkind. ǧīm [dʒ] retained in الجاي (blanc1964; jasim2020 §2.4). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-010	أَنَا think هَذَا model غَالِي شْوَيَّة	أنا think هذا model غالي شوية	ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː ˈʃwajja	I think this model is a bit expensive	think;model	[daily] think→θink (interdental /θ/ RETAINED — qeltu keeps it where Cairene merges to [t]; blanc1964 §3.2, jasim2020 §2.4); model→mudil. table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-011	فِي offer زَين وْ discount كْبِير	في offer زين و discount كبير	ˈfiː ufa ˈzeːn w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt (/aʊ/→[aw]). frame زين 'good' (Iraqi zone). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-012	delivery مِتْأَخِّر وْ service مُو زَين	delivery متأخر و service مو زين	dilifiri mitˈʔaxxir w safis ˈmuː ˈzeːn	the delivery is late and the service is not good	delivery;service	[commerce] delivery→dilifari; service→sarfis (/v/→[f]). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-013	السَّيَّارَة رَاحَت سَرفِيس الصُّبُح	السيارة راحت سرفيس الصبح	assajˈjaːra ˈraːħat sarˈfiːs ˈɑsˤsˤʊbuħ	the car went for a service in the morning	سَرفِيس	[automotive] loan سَرفِيس 'service (station)' → saˈrfiːs (/v/→[f]); attested Iraqi car-register loan [sarfiːs] (Holes 2004 Gulf/Iraqi loan lexicon). Pipeline reads the vocalised loan natively and matches. table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-014	دَفَعْت كَاش مَاكُو مَشَاكِل	دفعت كاش ماكو مشاكل	daˈfaʕt ˈkaːʃ ˈmaːkuː maˈʃaːkil	I paid cash, there are no problems	كَاش	[commerce] loan كَاش 'cash' → kaːʃ, matches attested [kaːʃ]. ماكو 'there isn't' (pan-Iraqi existential). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-015	السَّيَّارَة بِيهَا بَنشَر لَازِم أَصَلِّحهَا	السيارة بيها بنشر لازم أصلحها	assajˈjaːra ˈbiːhaː ˈbanʃar ˈlaːzim ʔɑsˤɑlˈliħhaː	the car has a puncture, I must fix it	بَنشَر	[automotive] loan بَنشَر 'puncture' (< Eng. puncture) → banʃar, matches attested [banʃar] (Holes 2004). table: default pan-Arabic	pinned
ar-IQ-x-qeltu-cs-016	المُوبَايِل بِتَاعِي ضَاع	الموبايل بتاعي ضاع	almoːˈbaːjil biˈtaːʕiː ˈdˤɑːʕ	my mobile is lost	المُوبَايِل	[tech] loan موبايل 'mobile'; attested [moːbaːjil]. PIPELINE WRONG: emits 'almuˈːbaːjil' — reads و as [uː] not the loan mid vowel [oː] and misplaces stress inside the length mark. Correct loan IPA pinned. table: default pan-Arabic	known-wrong
ar-IQ-x-qeltu-cs-017	عِنْدِي تِلِفِزيُون جَدِيد فِي الأُوضَة	عندي تلفزيون جديد في الأوضة	ˈʕindiː tilifizˈjoːn dʒaˈdiːd ˈfiː ˈlʔuːdˤɑ	I have a new television in the room	تِلِفِزيُون	[daily] loan تلفزيون 'television'; attested [tilifizjoːn]. PIPELINE WRONG: emits 'tilifiˈzjuːn' — reads و as [uː] instead of the loan mid vowel [oː]. Correct loan IPA pinned. table: default pan-Arabic	known-wrong
ar-IQ-x-qeltu-cs-018	shlonak? ana zeen el7imdilla	shlonak? ana zeen el7imdilla	ˈʃloːnak ˈʔanaː ˈzeːn aˈlħamd ˈlillah	how are you? I am fine, praise God	zeen;el7imdilla	[arabizi] Latin-script Iraqi (7=ح/ħ). Spells شْلَونَك؟ أَنَا زَين الْحَمْدُ لِلَّه. The pipeline has no Arabizi path (it never sniffs a Latin run as Arabic); ipa hand-derived as the qeltu reading it spells, with the qeltu monophthong ay→[eː] in šloːnak/zeːn (jasim2020). table: n/a	unsupported
ar-IQ-x-qeltu-cs-019	wein ri7it embare7	wein ri7it embare7	ˈweːn ˈriħit ʔaˈmbaːriħ	where did you go yesterday	wein;ri7it	[arabizi] Latin-script Iraqi (7=ح/ħ). Spells وَين رِحِت أَمْبَارِح. Pipeline has no Arabizi path; ipa hand-derived as the qeltu reading, with ay→[eː] in weːn (jasim2020; cf. mono-gold lwēn). table: n/a	unsupported
ar-IQ-x-qeltu-cs-020	aku shi jdiid 3endak	aku shi jdiid 3endak	ˈʔakuː ˈʃiː ˈdʒdiːd ˈʕindak	is there anything new with you	aku;3endak	[arabizi] Latin-script Iraqi (3=ع/ʕ). Spells أَكُو شِي جْدِيد عِنْدَك. Pipeline has no Arabizi path; ipa hand-derived as the qeltu reading (aku 'there is' pan-Iraqi existential; ǧīm [dʒ] in jdiːd). table: n/a	unsupported
