id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-SA-x-najd-cs-001	وَدِّيت السَّيَّارَة عَلَى service الْحِين	وديت السيارة على service الحين	wadˈdiːt assajˈjaːra ˈʕalaː sarfis alˈħiːn	I took the car to service now	service	[automotive] service→sarfis (/v/→[f], Alhoody 2019 §5.1). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-002	هَذَا model جَدِيد مَرَّة وْ automatic	هذا model جديد مرة و automatic	ˈhaðaː mudil dʒaˈdiːd ˈmarra w aatumatik	this model is really new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik (/p/-free; English vowels collapse to the three Arabic qualities). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-003	عِنْدِي مِشْكِلَة فِي clutch وْ أَبِي gear جَدِيد	عندي مشكلة في clutch و أبي gear جديد	ˈʕindiː ˈmiʃtsila ˈfiː klaʃ w ˈʔabiː dʒiːr dʒaˈdiːd	I have a problem with the clutch and I want a new gear	clutch;gear	[automotive] clutch→klaʃ (/tʃ/→[ʃ], Alhoody 2019 §5.1); gear→dʒiːr (native ǧīm /dʒ/ kept, not the Cairene stop [ɡ]); frame word مِشْكِلَة→[miʃtsila] shows Najdi velar affrication /k/→[ts] before a front vowel (Ingham 1994). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-004	عِنْدِي meeting مُهِمّ مَعَ الْمُدِير الْحِين	عندي meeting مهم مع المدير الحين	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa lmuˈdiːr alˈħiːn	I have an important meeting with the manager now	meeting	[tech] meeting→miːtinɡ (/ŋ/→[nɡ] elsewhere, Alhoody 2019 §5.1.10; the [ɡ] is the Najdi qāf reflex, so it is in inventory). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-005	نَزَّلْت file بَسّ مَا خَلَّص download	نزلت file بس ما خلص download	nazˈzalt fil ˈbass ˈmaː ˈxallɑsˤ dawnloud	I downloaded a file but the download did not finish	file;download	[tech] file→fil; download→dawnloud (/aʊ/→[aw]). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-006	أَبِي laptop جَدِيد بَسّ wifi بَطِيء	أبي laptop جديد بس wifi بطيء	ˈʔabiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I want a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub (/p/→[b], Alhoody 2019 §5.1); wifi→wifi. table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-007	فِي offer زَيْن وْ discount كْبِير	في offer زين و discount كبير	ˈfiː ufar ˈzajn w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt (/aʊ/→[aw]). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-008	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	ˈdafaʕat kaʃ ˈmuː biˈtsart	I paid cash not by card	cash	[commerce] cash→kaʃ; frame word بِكَرْت→[bitsart] shows velar affrication /k/→[ts] before front /i/ (Ingham 1994; Al Mahmoud 2020). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-009	شُفْت الْمُدِير جَنْب garage	شفت المدير جنب garage	ˈʃuft almuˈdiːr ˈdʒanb ɡaːradʒ	I saw the manager next to the garage	garage	[automotive] garage→ɡaːradʒ (final /ʒ/→[dʒ], Alhoody 2019 §5.1; Najdi has no /ʒ/). table: Najdi (Alhoody 2019 §5.1)	pinned
ar-SA-x-najd-cs-010	charger خَربَان وْ battery فَاضِي	charger خربان و battery فاضي	ʃaːrdʒar xarˈbaːn w batari ˈfɑːðˤiː	the charger is broken and the battery is empty	charger;battery	[tech] charger→ʃaːrdʒar (/tʃ/→[ʃ]); battery→batari. table: Najdi (Alhoody 2019 §5.1)	pinned
