id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-DZ-cs-001	نْحَبّ نِشْرِي voiture جْدِيدَة هَا الْعَام	نحب نشري voiture جديدة ها العام	ˈnħabb ˈniʃriː vwaˈtir ˈʒdiːda ˈhaː ˈlʕaːm	I want to buy a new car this year	voiture	[fr-cs] voiture 'car' → [vwaˈtir]: Fr /y/→[i], uvular /ʁ/→native /r/, /v/ retained (deep Algiers French adstrate; boucherit2002). PIPELINE WRONG (en-GB donor default): 'fuitjuːr'. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-002	portable مْتَاعِي مَا يِخْدِمْش مْلِيح	portable متاعي ما يخدمش مليح	pərˈtabl ˈmtaːʕiː ˈmaː jiˈxdimʃ ˈmliːħ	my mobile phone doesn't work well	portable	[fr-cs] portable 'mobile' → [pərˈtabl]: /p/ retained (adstrate), pretonic /ɔ/→[ə] (Algiers reduces short vowels to [ə]/∅ in weak positions (Boucherit 2002 heavy syncope)), /ʁ/→[r]. PIPELINE WRONG (en donor): 'buːrtabl' (/p/→[b]). table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-003	كَاين problème كْبِير فِي الْخِدْمَة	كاين problème كبير في الخدمة	ˈkaːjn prəbˈlɛm ˈkbiːr ˈfiː ˈlxidma	there is a big problem at work	problème	[fr-cs] problème → [prəbˈlɛm]: /p/ retained, /ʁ/→[r], pretonic vowel→[ə] (Algiers reduces short vowels to [ə]/∅ in weak positions (Boucherit 2002 heavy syncope)). كاين 'there is' (Algiers). PIPELINE WRONG (en donor): 'brublm'. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-004	خَلَّصْت facture تَاع الضّوْ الْبَارِح	خلصت facture تاع الضو البارح	xaˈllɑsˤt fakˈtura ˈtaːʕ ˈɑdˤdˤw aˈlbaːriħ	I paid the electricity bill yesterday	facture	[fr-cs] facture 'bill' → [fakˈtura]: syllabic /ʁ/ resolved with epenthetic [a] (holes2004). genitive exponent تاع (Algiers). PIPELINE WRONG (en donor): 'faktjuːr'. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-005	عَنْدِي rendez-vous مَعَ الطّبِيب غَدْوَة	عندي rendez-vous مع الطبيب غدوة	ˈʕandiː rɑndiˈvu ˈmaʕa ˈtˤtˤbiːb ˈɣadwa	I have an appointment with the doctor tomorrow	rendez-vous	[fr-cs] rendez-vous 'appointment' → [rɑndiˈvu]: nasal /ɑ̃/→[ɑn], /v/ retained. PIPELINE WRONG (en donor): 'rindizfaws' (reads the digraph as English). table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-006	هَادَا شِي normal مَا تْخَمِّمْش بْزَّاف	هادا شي normal ما تخممش بزاف	ˈhaːdaː ˈʃiː nərˈmal ˈmaː txaˈmmimʃ ˈbzzaːf	this is normal, don't think too much	normal	[fr-cs] normal → [nərˈmal]: pretonic /ɔ/→[ə] (Algiers reduces short vowels to [ə]/∅ in weak positions (Boucherit 2002 heavy syncope)), /ʁ/→[r]. PIPELINE WRONG (en donor): 'nuːrmal'. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-007	أَعْطِينِي stylo نِكْتِب بِيه	أعطيني stylo نكتب بيه	ʔaˈʕtˤiːniː stiˈlu ˈniktib ˈbiːh	give me a pen to write with	stylo	[fr-cs] stylo 'pen' → [stiˈlu]: Fr /y/→[i], /o/→[u]; well-integrated Algiers loan (the pipeline's 'stilu' happens close but is en-donor and mis-stressed). table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-008	merci بْزَّاف عَلَى الْمُسَاعْدَة	merci بزاف على المساعدة	mərˈsi ˈbzzaːf ˈʕalaː lmuˈsaːʕda	thank you very much for the help	merci	[fr-cs] merci 'thanks' → [mərˈsi]: pretonic /ɛ/→[ə] (Algiers reduces short vowels to [ə]/∅ in weak positions (Boucherit 2002 heavy syncope)), /ʁ/→[r]. PIPELINE WRONG (en donor): 'marsi' (full [a]). table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-DZ-cs-009	نْشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	ˈnʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we'll see you on the weekend, God willing	weekend	[en-cs] weekend→wiːkind. English is the minority CS donor in Algiers; French dominates. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-010	عَنْدِي laptop جْدِيد أَمَّا wifi بَطِيء	عندي laptop جديد أما wifi بطيء	ˈʕandiː labtub ˈʒdiːd ˈʔammaː wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[en-cs] laptop→labtub (/p/→[b]); wifi→wifi. NOTE: Algiers reduces short vowels to [ə]/∅ in weak positions (Boucherit 2002 heavy syncope), so a fast Algiers reading has [ʔamma], [labtəb] — the pipeline emits the full-vowel form here (documented divergence, kept pinned as engine truth). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-011	أَبْعَتْلِي email تَاع meeting	أبعتلي email تاع meeting	ʔabˈʕatliː imel ˈtaːʕ miːtinɡ	send me the email about the meeting	email;meeting	[en-cs] email→imel; meeting→miːtinɡ (/ŋ/→[nɡ]). genitive exponent تاع (Algiers). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-012	نِشْرِي كُلّ شِي online بْزَّاف	نشري كل شي online بزاف	ˈniʃriː ˈkull ˈʃiː unlin ˈbzzaːf	I buy everything online a lot	online	[en-cs] online→unlin. بزّاف 'a lot' (Algiers hallmark). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-013	عَنْدِي تِلِفُون جْدِيد فِي الدَّار	عندي تلفون جديد في الدار	ˈʕandiː tiliˈfuːn ˈʒdiːd ˈfiː ˈddaːr	I have a new telephone at home	تِلِفُون	[loan] loan تلفون (< Fr téléphone) → [tiliˈfuːn], attested Algiers form (boucherit2002). Pipeline reads the vocalised loan natively and matches. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-014	مْشِيت لْوَهْرَان بِالْكَار الْبَارِح	مشيت لوهران بالكار البارح	ˈmʃiːt lwahˈraːn bilˈkaːr alˈbaːriħ	I went to Oran by bus yesterday	الْكَار	[loan] loan كار (< Fr/It car 'coach') → [kaːr]: Algiers has NO imāla, so the long /aː/ keeps its back quality (boucherit2002) — the isogloss against Tunis [kɛːr]. Pipeline matches. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-015	أَعْطِينِي الْفَرْشِيطَة بَاش نَاكُل	أعطيني الفرشيطة باش ناكل	ʔaʕˈtˤiːniː lfarˈʃiːtˤɑ ˈbaːʃ ˈnaːkul	give me the fork so I can eat	الْفَرْشِيطَة	[loan] loan فرشيطة (< Fr fourchette 'fork') → [farˈʃiːtˤɑ], attested Algiers household loan; ط emphatic backs the vowel to [ɑ] (boucherit2002). Pipeline matches. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-016	وَدِّيت جَدِّي لِلسْبِيطَار الْبَارِح	وديت جدي للسبيطار البارح	wadˈdiːt ˈʒaddiː lilsbiːˈtˤɑːr alˈbaːriħ	I took my grandfather to the hospital yesterday	السْبِيطَار	[loan] loan سبيطار (< Fr/It (h)ospital) → [sbiːˈtˤɑːr], attested Algiers form; emphatic backing [ɑː]. STRESS ARTIFACT (documented, kept as engine truth): pipeline emits 'sbiˈːtˤɑːr' with the stress mark inside the length mark — cf. the ar-EG rows. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-017	نِمْشِي لِلْبِيرُو كُلّ صْبَاح فِي الْعَاصِمَة	نمشي للبيرو كل صباح في العاصمة	ˈnimʃiː lilˈbiːruː ˈkull ˈsˤbaːħ ˈfiː ˈlʕɑːsˤima	I go to the office every morning in the capital	الْبِيرُو	[loan] loan بيرو (< Fr bureau 'office/desk') → [biːru], everyday Algiers loan (boucherit2002); ع pharyngeal + emphatic ص back /a/ in العاصمة→[lʕɑːsˤima]. Pipeline matches. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-DZ-cs-018	wach rak? rak mlih?	wach rak? rak mlih?	ˈwaːʃ ˈraːk ˈraːk ˈmliːħ	how are you? are you well?	wach;rak;mlih	[arabizi] Arabizi (Algiers 3arabi). Spells وَاش رَاك؟ رَاك مْلِيح (Algiers greeting; boucherit2002 attests rāk, mlīḥ 'well'). No Arabizi path in the pipeline; ipa hand-derived as the Algiers reading — no imāla, /aː/ stays back. table: n/a	unsupported
ar-DZ-cs-019	win ro7t lbar7?	win ro7t lbar7?	ˈwiːn ˈruħt aˈlbaːriħ	where did you go yesterday?	win;ro7t;lbar7	[arabizi] Arabizi: 7=ح. Spells وِين رُحْت الْبَارِح. ipa hand-derived; بارِح keeps back [baːriħ] (no Algiers imāla; boucherit2002). table: n/a	unsupported
ar-DZ-cs-020	ya3aychek 3aytli 9bal ma tji	ya3aychek 3aytli 9bal ma tji	jaˈʕajʃik ʕaˈjjɑtˤliː ˈqbəl ˈmaː ˈtʒiː	please call me before you come	ya3aychek;3aytli;9bal	[arabizi] Arabizi: 3=ع, 9=ق, T=ط. Spells يَعَيْشِك عَيَّطْلِي قَبْل مَا تْجِي. ipa hand-derived; Algiers keeps the /aj/ of يعيشك as [aj] (jaˈʕajʃik) — NO Tunis ay→iː monophthong here, the two Maghrebi leaves diverge — and قبل reduces to [qbəl] by heavy syncope (Algiers reduces short vowels to [ə]/∅ in weak positions (Boucherit 2002 heavy syncope)). table: n/a	unsupported
