id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-SD-cs-001	دَايِر أَبْعَت email لِلْمُدِير هَسَّع	داير أبعت email للمدير هسع	ˈdaːjir ˈʔabʕat imeːl lilmuˈdiːr ˈhassaʕ	I want to send an email to the manager now	email	[tech] email→imiːl (Sudanic has no mid /eː/; nativisation projects to nearest [iː] — total nativisation, no drop). Khartoum frame داير 'wanting'/هسع 'now' (leddycecere2021; dickins2007). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SD-cs-002	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒa	I have an important meeting with a manager	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar (loan /dʒ/ stays [dʒ] — the loan phone is not merged to the native palatal ǧīm [ɟ]). table: default pan-Arabic	pinned
ar-SD-cs-003	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fil ˈbass dawnloːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnlaud (/aʊ/→[aw]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SD-cs-004	laptop بِتَاعِي خَربَان وْ screen مَكْسُور	laptop بتاعي خربان و screen مكسور	labtub biˈtaːʕiː xarˈbaːn w sriːn makˈsuːr	my laptop is broken and the screen is cracked	laptop;screen	[tech] laptop→labtub (/p/→[b]); screen→sriːn (/skr/ onset simplified). genitive exponent بتاعي (dickins2007). table: default pan-Arabic	pinned
ar-SD-cs-005	دَفَعْت cash مَا card	دفعت cash ما card	daˈfaʕt kaʃ maː kaːd	I paid cash not card	cash;card	[commerce] cash→kaʃ; card→kaːrd. Sudanese ما-negation (dickins2007). table: default pan-Arabic	pinned
ar-SD-cs-006	شُفْت الْمُدِير جَنْب garage	شفت المدير جنب garage	ˈʃuft almuˈdiːr ˈɟanb ɡaradʒ	I saw the manager next to a garage	garage	[work] garage→ɡaːradʒ (final /ʒ/→[dʒ], [ɡ] onset in inventory — the Sudanic qaf reflex /q/→[ɡ]). native جنب → [ɟanb] shows Sudanese ǧīm [ɟ] (leddycecere2021 §3.1.1). table: default pan-Arabic	pinned
ar-SD-cs-007	printer مَا شَغَّال وْ charger ضَايِع	printer ما شغال و charger ضايع	brinta maː ʃaɣˈɣaːl w ʃaːdʒa ˈdˤɑːjiʕ	the printer does not work and the charger is lost	printer;charger	[tech] printer→brintar (/p/→[b]); charger→ʃaːrdʒar (/tʃ/→[ʃ], loan /dʒ/ kept). table: default pan-Arabic	pinned
ar-SD-cs-008	شُفْت video بِالْبَيت الْيَوم	شفت video بالبيت اليوم	ˈʃuft fidiu biˈlbeːt aˈljoːm	I watched a video at home today	video	[daily] video→fidiu (/v/→[f]). KHARTOUM MONOPHTHONGISATION: Dickins (2007) has ay→[eː], aw→[oː], so بيت 'house'→[beːt], يوم 'day'→[joːm]; the spec does not carry the rule, so the pipeline keeps the diphthongs and emits 'ˈʃuft fidiu biˈlbajt aˈljawm'. Correct Khartoum form pinned with beːt/joːm. table: default pan-Arabic	known-wrong
ar-SD-cs-009	نَشُوفَك weekend الجَّاي إِنْ شَاءَ الله	نشوفك weekend الجاي إن شاء الله	naˈʃuːfak wiːkind alɟˈɟaːj ˈʔin ˈʃaːʔa ˈallah	we will see you next weekend, God willing	weekend	[daily] weekend→wiːkind. native ج in الجاي → [ɟ] (Sudanese palatal ǧīm; leddycecere2021 §3.1.1). table: default pan-Arabic	pinned
ar-SD-cs-010	شُفْت model جَدِيد فِي المَعْرِض	شفت model جديد في المعرض	ˈʃuft mudil ɟaˈdiːd fiː lˈmaʕrɪdˤ	I saw a new model at the showroom	model	[automotive] model→mudil. native ج in جديد → [ɟ]; ض in المعرض → [dˤ] (interdental/emphatic series merged to stops; leddycecere2021 §3.1). table: default pan-Arabic	pinned
ar-SD-cs-011	فِي offer كْوَيِّس وْ discount كْبِير	في offer كويس و discount كبير	fiː ufa ˈkwajjis w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt (/aʊ/→[aw]). frame كويس 'good' (Sudanese zone). table: default pan-Arabic	pinned
ar-SD-cs-012	delivery مِتْأَخِّر وْ service مَا كْوَيِّس	delivery متأخر و service ما كويس	dilifiri mitˈʔaxxir w safis maː ˈkwajjis	the delivery is late and the service is not good	delivery;service	[commerce] delivery→dilifari; service→sarfis (/v/→[f]). table: default pan-Arabic	pinned
ar-SD-cs-013	السَّيَّارَة رَاحَت سَرفِيس الصُّبُح	السيارة راحت سرفيس الصبح	assajˈjaːra ˈraːħat sarˈfiːs ˈɑsˤsˤʊbuħ	the car went for a service in the morning	سَرفِيس	[automotive] loan سَرفِيس 'service (station)' → saˈrfiːs (/v/→[f]); attested car-register loan [sarfiːs] (Holes 2004). Pipeline reads the vocalised loan natively and matches. table: default pan-Arabic	pinned
ar-SD-cs-014	دَفَعْت كَاش مَا فِي مَشَاكِل	دفعت كاش ما في مشاكل	daˈfaʕt ˈkaːʃ maː fiː maˈʃaːkil	I paid cash, there are no problems	كَاش	[commerce] loan كَاش 'cash' → kaːʃ, matches attested [kaːʃ]. ما في 'there isn't' (Sudanese negation; dickins2007). table: default pan-Arabic	pinned
