id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-TN-cs-001	بْغِيت أَبْعَت email لِلْمُدِير دَابَا	بغيت أبعت email للمدير دابا	ˈbɣiːt ˈʔabʕat imel lilmuˈdiːr ˈdɛːbɛː	I want to send an email to the manager now	email	[tech] email→imel. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub ʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج دَابَا	لازم نعمل update للبرنامج دابا	ˈlaːzim ˈnaʕmal abdat lilbaˈrnɛːmiʒ ˈdɛːbɛː	we have to do an update for the program now	update	[tech] update→abdat. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	naˈzzalt fil ˈbass dawnloud bɑˈtˤiːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnloud. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imel	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imel. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕaˈtlijj link ˈʕalɛː misadʒ	send me the link on a message	link;message	[tech] link→link; message→misadʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtinɡ; manager→manadʒar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fidiu ˈʕalɛː unlin	I saw a video online	video;online	[tech] video→fidiu; online→unlin. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-009	فِي offer مْزْيَان وْ discount كْبِير	في offer مزيان و discount كبير	ˈfiː ufar ˈmzjɛːn w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-011	بْغِيت أَشْتَرِي online بَسّ مَا لَقِيت offer	بغيت أشتري online بس ما لقيت offer	ˈbɣiːt ˈʔaʃtariː unlin ˈbass ˈmɛː laˈqiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlin; offer→ufar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-012	service ماشِي مْزْيَان وْ delivery مِتْأَخِّر	service ماشي مزيان و delivery متأخر	sarfis ˈmɛːʃiː ˈmzjɛːn w dilifari miˈtʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ ˈmuː biˈkart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-TN-cs-014	وَدِّيت car عَلَى service دَابَا	وديت car على service دابا	waˈddiːt kaːr ˈʕalɛː sarfis ˈdɛːbɛː	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: default pan-Arabic (Watson 2002; Holes 2004)
