id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-EG-cs-001	عَايِز أَبْعَت email لِلْمُدِير دِلْوَقْتِي	عايز أبعت email للمدير دلوقتي	ˈʕaːjiz ˈʔabʕat imil lilmuˈdiːr diˈlwaʔtiː	I want to send an email to the manager now	email	[tech] email→imil. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub ɡaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج دِلْوَقْتِي	لازم نعمل update للبرنامج دلوقتي	ˈlaːzim ˈnaʕmal abdat lilbaˈrnaːmiɡ diˈlwaʔtiː	we have to do an update for the program now	update	[tech] update→abdat. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	naˈzzalt fil ˈbass dawnloːud bɑˈtˤiːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnloːud. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imil	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imil. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕaˈtlijj link ˈʕalaː misaɡ	send me the link on a message	link;message	[tech] link→link; message→misaɡ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manaɡar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtinɡ; manager→manaɡar. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fidiu ˈʕalaː unlin	I saw a video online	video;online	[tech] video→fidiu; online→unlin. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-009	فِي offer كْوَيِّس وْ discount كْبِير	في offer كويس و discount كبير	ˈfiː ufar ˈkwajjis w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-011	عَايِز أَشْتَرِي online بَسّ مَا لَقِيت offer	عايز أشتري online بس ما لقيت offer	ˈʕaːjiz ˈʔaʃtariː unlin ˈbass ˈmaː laˈʔiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlin; offer→ufar. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-012	service مِش كْوَيِّس وْ delivery مِتْأَخِّر	service مش كويس و delivery متأخر	sarfis ˈmiʃ ˈkwajjis w dilifari miˈtʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ ˈmuː biˈkart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-014	وَدِّيت car عَلَى service دِلْوَقْتِي	وديت car على service دلوقتي	waˈddiːt kaːr ˈʕalaː sarfis diˈlwaʔtiː	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-015	دَه model جَدِيد وْ automatic	ده model جديد و automatic	ˈdah mudil ɡaˈdiːd w aatumatik	this model is new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-016	مِش عَارِف بَسّ أَنَا think دَه model غَالِي	مش عارف بس أنا think ده model غالي	ˈmiʃ ˈʕaːrif ˈbass ˈʔanaː tink ˈdah mudil ˈɣaːliː	I don't know but I think this model is expensive	think;model	[automotive] think→tink; model→mudil. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-017	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-018	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suːri taʔaˈxxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suːri; meeting→miːtinɡ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-019	ok كْوَيِّس نِتْكَلَّم دِلْوَقْتِي	ok كويس نتكلم دلوقتي	uk ˈkwajjis niˈtkallam diˈlwaʔtiː	ok fine, we'll talk now	ok	[daily] ok→uk. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-cs-020	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manaɡar ˈfiː ɡaːraɡ	did you see the manager in the garage	manager;garage	[daily] manager→manaɡar; garage→ɡaːraɡ. table: Egyptian (Hafez 1996; Watson 2002)
