id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-x-peninsular-cs-001	أَبْغَى أَبْعَت email لِلْمُدِير الْحِين	أبغى أبعت email للمدير الحين	ˈʔabɣaː ˈʔabʕat imiːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→imiːl. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-002	عِنْدِي meeting مُهِمّ مَعَ manager الْحِين	عندي meeting مهم مع manager الحين	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar alˈħiːn	I have an important meeting with a manager now	meeting;manager	[work] meeting→miːtinɡ; manager→manadʒar. node rank-1: conservative ق→[q] retained (لقيت→laˈqiːt), aw/ay diphthongs retained; the node declares /ɡ/ so meeting→miːtinɡ, garage→ɡaːradʒ (watson2002; ingham1994; omar1975). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-003	فِي offer طَيِّب وْ discount كْبِير	في offer طيب و discount كبير	ˈfiː ufar ˈtˤɑjjib w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-004	لَازِم نَعْمَل update لِلْبَرْنَامِج الْحِين	لازم نعمل update للبرنامج الحين	ˈlaːzim ˈnaʕmal abdat lilbarˈnaːmidʒ alˈħiːn	we have to do an update for the program now	update	[tech] update→abdat. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-005	شُفْت video طَيِّب عَلَى online	شفت video طيب على online	ˈʃuft fidiu ˈtˤɑjjib ˈʕalaː unlin	I saw a nice video online	video;online	[media] video→fidiu; online→unlin. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-006	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imiːl	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imiːl. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-007	مُو عَارِف بَسّ أَنَا think هَذَا project غَالِي	مو عارف بس أنا think هذا project غالي	ˈmuː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː brudʒikt ˈɣaːliː	I don't know but I think this project is expensive	think;project	[work] think→θink; project→brudʒikt. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-008	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	the delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-009	service مُو طَيِّب وْ delivery مِتْأَخِّر	service مو طيب و delivery متأخر	sarfis ˈmuː ˈtˤɑjjib w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-peninsular-cs-010	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
