id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-KW-cs-001	أَبِي أَبْعَت email لِلْمُدِير الْحِين	أبي أبعت email للمدير الحين	ˈʔabiː ˈʔabʕat imeːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→imeːl (/eɪ/→[eː], native Gulf mid vowel). Kuwaiti frame أَبِي 'I want' + الْحِين 'now' (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-002	عِنْدِي meeting مُهِمّ مَعَ manager بُكْرَة	عندي meeting مهم مع manager بكرة	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒa ˈbukra	I have an important meeting with a manager tomorrow	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar — KW DELTA: loan /dʒ/ kept as native ǧīm [dʒ], NOT the Cairene stop [ɡ]. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-003	شُفْت video وَايِد حِلُو عَن السَّيَّارَة automatic	شفت video وايد حلو عن السيارة automatic	ˈʃuft fidioː ˈwaːjid ˈħiluː ˈʕan assajˈjaːra aatumatik	I saw a really nice video about the automatic car	video;automatic	[daily] video→fidiu (/v/→[f]); automatic→aatumatik. Kuwaiti intensifier وَايِد (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-004	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي وَايِد	مو عارف بس أنا think هذا model غالي وايد	muː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː ˈwaːjid	I don't know but I think this model is very expensive	think;model	[daily] think→θink — KW DELTA: interdental /θ/ RETAINED (Gulf keeps it where Cairene merges to [t]); model→mudil. Frame مُو negator + بَسّ + وَايِد (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-005	laptop مَالِي خَربَان وْ charger مُو شَغَّال	laptop مالي خربان و charger مو شغال	labtub ˈmaːliː xarˈbaːn w ʃaːdʒa muː ʃaɣˈɣaːl	my laptop is broken and the charger doesn't work	laptop;charger	[tech] laptop→labtub (/p/→[b]); charger→ʃaːrdʒar (/tʃ/→[ʃ], then native ǧīm [dʒ]). Genitive exponent مَالِي (Gulf, albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-006	نَسِيت password مَال email مَرَّة ثَانْيَة	نسيت password مال email مرة ثانية	naˈsiːt baswuːd ˈmaːl imeːl ˈmarra ˈθaːnja	I forgot the password of the email again	password;email	[tech] password→baswuːrd (/p/→[b]); email→imeːl. Gulf genitive exponent مَال. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-007	وَدِّيت السَّيَّارَة عَلَى service الْيَوم الصُّبُح	وديت السيارة على service اليوم الصبح	wadˈdiːt assajˈjaːra ˈʕalaː safis alˈjoːm ˈɑsˤsˤʊbuħ	I took the car for a service this morning	service	[automotive] service→sarfis (/v/→[f]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-008	فِي offer زَيْن الْيَوم وْ discount وَايِد	في offer زين اليوم و discount وايد	fiː ufa ˈzeːn alˈjoːm w disawnt ˈwaːjid	there is a good offer today and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt (/aʊ/→[aw]). Frame زَيْن 'good' + وَايِد (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-009	printer بَاظ وْ مَا يِطْبَع لَازِم وَاحِد جَدِيد	printer باظ و ما يطبع لازم واحد جديد	brinta ˈbɑːðˤ w maː ˈjitˤbaʕ ˈlaːzim ˈwaːħid dʒaˈdiːd	the printer broke down and doesn't print, we need a new one	printer	[tech] printer→brintar (/p/→[b]). Kuwaiti negation مَا (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-KW-cs-010	نْشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	ˈnʃuːfak fiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we'll see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
