id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-BH-cs-001	أَبْغَى أَبْعَت email لِلْمُدِير الْحِين	أبغى أبعت email للمدير الحين	ˈʔabɣaː ˈʔabʕat imeːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→imeːl (/eɪ/→[eː], native Gulf mid vowel). Bahraini frame أَبْغَى 'I want' + الْحِين 'now' (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-002	عِنْدِي meeting مُهِمّ وَاجِد مَعَ manager	عندي meeting مهم واجد مع manager	ˈʕindiː miːtinɡ muˈhimm ˈwaːdʒid ˈmaʕa manadʒar	I have a very important meeting with a manager	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar — BH DELTA: loan /dʒ/ kept as native ǧīm [dʒ], NOT the Cairene stop [ɡ]. Intensifier وَاجِد 'very' → [waːdʒid] (Bahraini lexical ǧīm [dʒ], where Kuwaiti has وايد [waːjid]; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-003	شِفْت video حِلُو وَاجِد عَن السَّيَّارَة automatic	شفت video حلو واجد عن السيارة automatic	ˈʃift fidiu ˈħiluː ˈwaːdʒid ˈʕan assajˈjaːra aatumatik	I saw a really nice video about the automatic car	video;automatic	[daily] video→fidiu (/v/→[f]); automatic→aatumatik. وَاجِد 'very' [waːdʒid] (Bahraini, albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-004	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي	مو عارف بس أنا think هذا model غالي	muː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː	I don't know but I think this model is expensive	think;model	[daily] think→θink — BH DELTA: interdental /θ/ RETAINED (Gulf keeps it where Cairene merges to [t]); model→mudil. Frame مُو negator + بَسّ (albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-005	laptop مَالِي خَربَان وْ charger مُو شَغَّال	laptop مالي خربان و charger مو شغال	labtub ˈmaːliː xarˈbaːn w ʃaːrdʒar muː ʃaɣˈɣaːl	my laptop is broken and the charger doesn't work	laptop;charger	[tech] laptop→labtub (/p/→[b]); charger→ʃaːrdʒar (/tʃ/→[ʃ], then native ǧīm [dʒ]). Genitive exponent مَالِي (Gulf, albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-006	نَسِيت password مَال email مَرَّة ثَانْيَة	نسيت password مال email مرة ثانية	naˈsiːt baswuːrd ˈmaːl imeːl ˈmarra ˈθaːnja	I forgot the password of the email again	password;email	[tech] password→baswuːrd (/p/→[b]); email→imeːl. Gulf genitive exponent مَال. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-007	وَدِّيت السَّيَّارَة عَلَى service الصُّبُح	وديت السيارة على service الصبح	wadˈdiːt assajˈjaːra ˈʕalaː sarfis ˈɑsˤsˤubuħ	I took the car for a service in the morning	service	[automotive] service→sarfis (/v/→[f]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-008	فِي offer زَين الْيَوم وْ discount وَاجِد	في offer زين اليوم و discount واجد	fiː ufar ˈzeːn alˈjoːm w disawnt ˈwaːdʒid	there is a good offer today and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt (/aʊ/→[aw]). Frame زَين 'good' + وَاجِد [waːdʒid] (Bahraini, albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-009	printer بَاظ وْ مَا يِطْبَع لَازِم وَاحِد جِدِيد	printer باظ و ما يطبع لازم واحد جديد	brintar ˈbɑːðˤ w maː ˈjitˤbaʕ ˈlaːzim ˈwaːħid dʒiˈdiːd	the printer broke down and doesn't print, we need a new one	printer	[tech] printer→brintar (/p/→[b]). Bahraini negation مَا; جِدِيد [dʒidiːd] native ǧīm. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-BH-cs-010	نْشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	ˈnʃuːfak fiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we'll see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
