id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-BH-x-baharna-cs-001	أَبِي أَبْعَت email لِلْمُدِير الْحِين	أبي أبعت email للمدير الحين	ˈʔabiː ˈʔabʕat iːmeːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→iːmeːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤɪːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج الْحِين	لازم نعمل update للبرنامج الحين	ˈlaːzim ˈnaʕmal abdeːt lilbarˈnaːmidʒ alˈħiːn	we have to do an update for the program now	update	[tech] update→abdeːt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fajl ˈbass dawnloːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fajl; download→dawnloːd. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baːswaːrd ˈtaːʕ iːmeːl	I forgot the password of the email	password;email	[tech] password→baːswaːrd; email→iːmeːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ʔibˈʕatliː link ˈʕalaː misidʒ	send me the link on a message	link;message	[tech] link→link; message→misidʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manidʒar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtinɡ; manager→manidʒar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fiːdjo ˈʕalaː unlajn	I saw a video online	video;online	[tech] video→fiːdjo; online→unlajn. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-009	فِي offer زَيْن وْ discount كْبِير	في offer زين و discount كبير	fiː ufar ˈzeːn w diskawnt ˈtʃbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→diskawnt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjʊːsˤɑl ˈbutʃra w adˈdafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
