id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-YE-cs-001	أَشْتِي أَبْعَت email لِلْمُدِير	أشتي أبعت email للمدير	ˈʔaʃtiː ˈʔabʕat imeːl lilmuˈdiːr	I want to send an email to the manager	email	[tech] email→imeːl (/eɪ/→[eː]). aští 'I want' — hallmark Ṣanʿānī šty verb (watson2002 s.v. šty). default pan-Arabic table (Watson2002/Holes2004).	pinned
ar-YE-cs-002	laptop تَبَعِي مَا يِشْتِغِل	laptop تبعي ما يشتغل	labtub ˈtabaʕiː ˈmaː ˈjiʃtiɣil	my laptop doesn't work	laptop	[tech] laptop→labtub (/p/→[b], coda cluster). mā ... yishtiġil negation. default table.	pinned
ar-YE-cs-003	نَسِيت password تَبَع email	نسيت password تبع email	naˈsiːt baswuːrd ˈtabaʕ imeːl	I forgot the password of the email	password;email	[tech] password→baswuːrd (/p/→[b]); email→imeːl. default table.	pinned
ar-YE-cs-004	حَمِّل file وْ اعْمَل update	حمل file و اعمل update	ˈħammil fil w ˈʔaʕmal abdat	download the file and do an update	file;update	[tech] file→fil; update→abdat (/p/→[b]). default table.	pinned
ar-YE-cs-005	wifi هِنَا ضَعِيف	wifi هنا ضعيف	wifi ˈhinaː ðˤɑˈʕiːf	the wifi here is weak	wifi	[tech] wifi→wifi (native segments). ض→/ðˤ/ — Ṣanʿānī ḍād–ẓāʾ merger (watson2002 §2.2 p.20). default table.	pinned
ar-YE-cs-006	أَشْتِي أَشْتَرِي mobile جَدِيد	أشتي أشتري mobile جديد	ˈʔaʃtiː ˈʔaʃtariː mubil dʒaˈdiːd	I want to buy a new mobile	mobile	[phone] mobile→mubil (Latin-embed, nativised). aští frame (watson2002); jīm→[dʒ] in jadīd (watson2002 p.11, Ṣanʿānī palatoalveolar). default table.	pinned
ar-YE-cs-007	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕaˈtlijj link ˈʕalaː misadʒ	send me the link in a message	link;message	[phone] link→link; message→misadʒ (/dʒ/ kept). default table.	pinned
ar-YE-cs-008	شُفْت video عَلَى internet	شفت video على internet	ˈʃuft fidiu ˈʕalaː intarnit	I saw the video on the internet	video;internet	[tech] video→fidiu (/v/→[f]); internet→intarnit. default table.	pinned
ar-YE-cs-009	battery خَلْصَت وْ مَا فِي charger	battery خلصت و ما في charger	batari ˈxalsˤɑt w ˈmaː ˈfiː ʃaːrdʒar	the battery died and there's no charger	battery;charger	[phone] battery→batari; charger→ʃaːrdʒar (/dʒ/ kept). mā fī 'there isn't' (watson2002). default table.	pinned
ar-YE-cs-010	اعْمَل screenshot وْ ابْعَتُه	اعمل screenshot و ابعته	ˈʔaʕmal sriːnʃut w ˈibʕatuh	take a screenshot and send it	screenshot	[tech] screenshot→sriːnʃut (/tʃ/... plain cluster; final /t/). default table.	pinned
ar-YE-cs-011	عِنْدِي meeting عَلَى zoom الْيَوم	عندي meeting على zoom اليوم	ˈʕindiː miːtinɡ ˈʕalaː zuːm aˈljawm	I have a meeting on zoom today	meeting;zoom	[tech] meeting→miːtinɡ (/ŋ/→[nɡ]); zoom→zuːm. diphthong aw retained in al-yawm (watson2002: Ṣanʿānī diphthong retention). default table.	pinned
ar-YE-cs-012	signal ضَعِيف وْ download بَطِيء	signal ضعيف و download بطيء	sinal ðˤɑˈʕiːf w dawnlaud bɑˈtˤiːʔ	the signal is weak and the download is slow	signal;download	[phone] signal→sinal (donor G2P, medial cluster); download→dawnlaud. ض→/ðˤ/ (watson2002 §2.2). default table.	pinned
ar-YE-cs-013	الْمُوبَايِل تَبَعِي مَا يِشْتِغِل	الموبايل تبعي ما يشتغل	almoːbaːjil ˈtabaʕiː ˈmaː ˈjiʃtiɣil	my mobile doesn't work	مُوبَايِل	[phone] Arabic-script loan mobile→[moːbaːjil] (attested Yemeni/Gulf realisation, mid [oː]; Holes2004). Pipeline reads و as [uː]→almuˈːbaːjil (over-length ˈː artifact, WRONG); correct value pinned by hand.	known-wrong
ar-YE-cs-014	شُفْت الْخَبَر فِي التِّلِفِزْيُون	شفت الخبر في التلفزيون	ˈʃuft ˈalxabar ˈfiː ttilifiˈzjuːn	I saw the news on the television	تِّلِفِزْيُون	[tech] Arabic-script loan television→tilifizjuːn; sun-assimilated article at-t→[tt]. Pipeline matches attested → pinned.	pinned
ar-YE-cs-015	الْكَمْبْيُوتَر تَبَعِي بَطِيء	الكمبيوتر تبعي بطيء	alkaˈmbjuːtar ˈtabaʕiː bɑˈtˤiːʔ	my computer is slow	كَمْبْيُوتَر	[tech] Arabic-script loan computer→[kambjuːtar]. Pipeline matches attested → pinned.	pinned
ar-YE-cs-016	اسْمَع الْأَخْبَار فِي الرَّادْيُو	اسمع الأخبار في الراديو	ˈismaʕ alʔaˈxbaːr ˈfiː ˈrraːdjuː	listen to the news on the radio	رَّادْيُو	[tech] Arabic-script loan radio→[raːdjuː]; sun-assimilated article ar-r→[rr] (ر is a sun letter). Pipeline matches attested → pinned.	pinned
ar-YE-cs-017	خَلِّنِي أَدْفَع كَاش	خلني أدفع كاش	ˈxalliniː ˈʔadfaʕ ˈkaːʃ	let me pay cash	كَاش	[commerce] Arabic-script loan cash→[kaːʃ]. Pipeline matches attested → pinned.	pinned
ar-YE-cs-018	keyf 7alk ya a5i? 3adak zain	keyf 7alk ya a5i? 3adak zain	ˈkajf ˈħaːlak ˈjaː ˈʔaxiː ˈʕaːdak ˈzajn	how are you, brother? still well?	7alk;a5i;3adak	[greeting] Ṣanʿānī Arabizi: 7=ح, 5=خ, 3=ع. Spells كَيف حَالَك يَا أَخِي؟ عَادَك زَين؟ (ʕādak 'still', diphthongs ay/aw retained; watson2002). Pipeline has no Arabizi path; IPA hand-derived from the Arabic.	unsupported
ar-YE-cs-019	ashti aruu7 el soug bukra	ashti aruu7 el soug bukra	ˈʔaʃtiː ʔaˈruːħ aˈssuːɡ ˈbukra	I want to go to the market tomorrow	ashti;aruu7;soug	[daily] Ṣanʿānī Arabizi: 7=ح. ashti 'I want' (hallmark šty verb, watson2002); soug=sūg (qaf→[ɡ], watson2002 §2.2); article el- realises Ṣanʿānī al- (not Levantine il-). Pipeline has no Arabizi path; hand-derived.	unsupported
ar-YE-cs-020	wein el mifta7? ma 3ndi	wein el mifta7? ma 3ndi	ˈwajn almiˈftaːħ ˈmaː ˈʕindiː	where's the key? I don't have it	wein;mifta7;3ndi	[daily] Ṣanʿānī Arabizi: 7=ح, 3=ع. wein=wayn (diphthong retained, not wēn; watson2002). Spells وَين الْمِفْتَاح؟ مَا عِنْدِي. Pipeline has no Arabizi path; hand-derived.	unsupported
