id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-cs-001	أُرِيد أَبْعَت email لِلْمُدِير الْآن	أريد أبعت email للمدير الآن	ʔuˈriːd ˈʔabʕat imiːl lilmuˈdiːr aˈlʔaːn	I want to send an email to the manager now	email	[tech] email→imiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج الْآن	لازم نعمل update للبرنامج الآن	ˈlaːzim ˈnaʕmal abdat lilbaˈrnaːmidʒ aˈlʔaːn	we have to do an update for the program now	update	[tech] update→abdat. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	naˈzzalt fil ˈbass dawnlaud bɑˈtˤiːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnlaud. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imiːl	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕaˈtlijj link ˈʕalaː misadʒ	send me the link on a message	link;message	[tech] link→link; message→misadʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtink muˈhimm ˈmaʕa manadʒar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtink; manager→manadʒar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fidiu ˈʕalaː unlin	I saw a video online	video;online	[tech] video→fidiu; online→unlin. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-009	فِي offer جَيِّد وْ discount كْبِير	في offer جيد و discount كبير	ˈfiː ufar ˈdʒajjid w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-011	أُرِيد أَشْتَرِي online بَسّ مَا لَقِيت offer	أريد أشتري online بس ما لقيت offer	ʔuˈriːd ˈʔaʃtariː unlin ˈbass ˈmaː laˈqiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlin; offer→ufar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-012	service مِش جَيِّد وْ delivery مِتْأَخِّر	service مش جيد و delivery متأخر	sarfis ˈmiʃ ˈdʒajjid w dilifari miˈtʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ ˈmuː biˈkart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-014	وَدِّيت car عَلَى service الْآن	وديت car على service الآن	waˈddiːt kaːr ˈʕalaː sarfis aˈlʔaːn	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-015	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaːðaː mudil dʒaˈdiːd w aatumatik	this model is new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-016	مِش عَارِف بَسّ أَنَا think هَذَا model غَالِي	مش عارف بس أنا think هذا model غالي	ˈmiʃ ˈʕaːrif ˈbass ˈʔanaː θink ˈhaːðaː mudil ˈɣaːliː	I don't know but I think this model is expensive	think;model	[automotive] think→θink; model→mudil. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-017	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-018	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suːri taʔaˈxxart ˈʕalaː miːtink	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suːri; meeting→miːtink. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-019	ok جَيِّد نِتْكَلَّم الْآن	ok جيد نتكلم الآن	uk ˈdʒajjid niˈtkallam aˈlʔaːn	ok fine, we'll talk now	ok	[daily] ok→uk. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-cs-020	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manadʒar ˈfiː kaːradʒ	did you see the manager in the garage	manager;garage	[daily] manager→manadʒar; garage→kaːradʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
