id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-QA-cs-001	أَبِي أَرْسِل email لِلْمُدِير الْحِين	أبي أرسل email للمدير الحين	ˈʔabiː ˈʔarsil imeːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→imeːl (loan into Gulf /eː/). أبي/الحين Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-002	عِنْدِي meeting مُهِمّ بُكْرَة وِيَا manager	عندي meeting مهم بكرة ويا manager	ˈʕindiː miːtinɡ muˈhimm ˈbukra ˈwijaː manadʒar	I have an important meeting tomorrow with a manager	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar (loan /dʒ/→[dʒ] Gulf ǧīm — contrast Cairene [ɡ]). وِيَا 'with' Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-003	project لِسَّه مَا خَلَّص وِالتَّسْلِيم بُكْرَة	project لسه ما خلص والتسليم بكرة	brudʒikt ˈlissah ˈmaː ˈxallɑsˤ wittasˈliːm ˈbukra	the project is not finished yet and delivery is tomorrow	project	[work] project→brudʒikt (/p/→[b]; loan /dʒ/→[dʒ]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-004	laptop مَالِي وِقَع وِالشَّاشَة تْكَسَّرَت	laptop مالي وقع والشاشة تكسرت	labtub ˈmaːliː ˈwiɡaʕ wiʃˈʃaːʃa ˈtkassarat	my laptop fell and the screen broke	laptop	[tech] laptop→labtub (/p/→[b]). مَالِي genitive Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-005	شِفْت video وَايِد زَين عَلَى online	شفت video وايد زين على online	ˈʃift fidiu ˈwaːjid ˈzeːn ˈʕalaː unlin	I saw a very nice video online	video;online	[daily] video→fidiu (/v/→[f]); online→unlin. وَايِد intensifier Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-006	وَدِّيت car عَلَى service الْحِين	وديت car على service الحين	wadˈdiːt kaːr ˈʕalaː sarfis alˈħiːn	I took the car for a service now	car;service	[automotive] car→kaːr; service→sarfis (/v/→[f]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-007	فِي offer زَين الْيَوم وْ discount وَايِد	في offer زين اليوم و discount وايد	ˈfiː ufar ˈzeːn alˈjoːm w disawnt ˈwaːjid	there is a good offer today and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. زَين 'good' Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-008	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي	مو عارف بس أنا think هذا model غالي	ˈmuː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː	I don't know but I think this model is expensive	think;model	[daily] think→θink (Gulf interdental retention — contrast Cairene [t]); model→mudil. مُو negator Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-009	نِسِيت password وْ wifi بَطِيء	نسيت password و wifi بطيء	niˈsiːt baswuːrd w wifi bɑˈtˤiːʔ	I forgot the password and the wifi is slow	password;wifi	[tech] password→baswuːrd (/p/→[b]); wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-010	printer بَاظ وْ charger مُو شَغَّال	printer باظ و charger مو شغال	brintar ˈbɑːðˤ w ʃaːrdʒar ˈmuː ʃaɣˈɣaːl	the printer broke and the charger doesn't work	printer;charger	[tech] printer→brintar (/p/→[b]); charger→ʃaːrdʒar (loan /dʒ/→[dʒ]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-011	delivery مِتْأَخِّر وِالدَّفْع card	delivery متأخر والدفع card	dilifari mitˈʔaxxir widˈdafʕ kaːrd	the delivery is late and payment is by card	delivery;card	[commerce] delivery→dilifari (/v/→[f]); card→kaːrd. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-012	نْشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	ˈnʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we'll see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. Qatari frame (alshammari2026; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-013	دَفَعْت كَاش مُو بِالْكَارت	دفعت كاش مو بالكارت	daˈfaʕt ˈkaːʃ ˈmuː baːlˈkaːrt	I paid cash not by card	كَاش	[commerce] loan كاش 'cash' → kaːʃ; matches attested Gulf [kaːʃ] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-014	التَّاير فِيه بَنْشَر لَازِم أُصَلِّحُه	التاير فيه بنشر لازم أصلحه	atˈtaʔaʔir ˈfiːh ˈbanʃar ˈlaːzim ʔuˈsˤɑlliħuh	the tyre has a puncture, I have to fix it	بَنْشَر	[automotive] loan بنشر 'puncture' → banʃar; matches attested [banʃar] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-015	وَدِّيت السَّيَّارَة سَرْفِيس الصُّبْح	وديت السيارة سرفيس الصبح	wadˈdiːt assajˈjaːra sarˈfiːs ɑsˤˈsˤubħ	I took the car for a service this morning	سَرْفِيس	[automotive] loan سرفيس 'service (station)' → saˈrfiːs (/v/→[f]); matches attested Gulf [sarfiːs] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-QA-cs-016	رَنَّيت لَك عَلَى الْمُوبَايِل مَا رْدَيت	رنيت لك على الموبايل ما رديت	raˈnneːt ˈlak ˈʕalaː lmoˈbaːjil ˈmaː ˈrdeːt	I rang you on the mobile, you didn't answer	الْمُوبَايِل	[tech] loan موبايل 'mobile'; attested Gulf [moˈbaːjil] (Holes 2004). PIPELINE WRONG: emits 'lmuˈːbaːjil' — reads و as [uː] not the loan mid vowel [oː] and misplaces stress (ˈ before ː). Correct loan IPA pinned. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-QA-cs-017	قَعَدْنَا نِتْفَرَّج تِلِفِزْيُون بِاللَّيْل	قعدنا نتفرج تلفزيون بالليل	ɡaˈʕadnaː niˈtfarradʒ tilifizˈjoːn biˈlllajl	we sat watching television at night	تِلِفِزْيُون	[daily] loan تلفزيون 'television'; attested Gulf [tilifizˈjoːn] (Holes 2004). PIPELINE WRONG: emits 'tilifiˈzjuːn' — و→[uː] instead of loan [oː] and stress on the wrong syllable. Correct loan IPA pinned. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-QA-cs-018	sh7alek 3sak zain ya wlad 3ammi	sh7alek 3sak zain ya wlad 3ammi	ˈʃħaːlak ʕaˈsaːk ˈzeːn ˈjaː ˈwlad ˈʕammiː	how are you? I hope you're well, my cousin	sh7alek;3sak;3ammi	[daily] Arabizi (3arabi): 7=ح, 3=ع. Spells شحالك عساك زين يا ولد عمي. Pipeline has no Arabizi path; ipa = the Qatari reading of the spelt sentence (albalushi2016).	unsupported
ar-QA-cs-019	ma aba3'a 3asha aba3'a chai 7aleeb bs	ma aba3'a 3asha aba3'a chai 7aleeb bs	ˈmaː ˈʔabɣaː ˈʕaʃaː ˈʔabɣaː ˈtʃaːj ħaˈliːb ˈbas	I don't want dinner, I just want milk tea	aba3'a;chai;7aleeb	[daily] Arabizi: 3'=غ, 3=ع, 7=ح, ch=چ [tʃ]. Spells ما أبغى عشا أبغى چاي حليب بس. unsupported (no Arabizi path); ipa = Qatari reading, چاي→[tʃaːj] karak-tea (alshammari2026).	unsupported
