id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-NG-cs-001	دَايِر نَبْعَت email لِلْمُدِير هَسَّع	داير نبعت email للمدير هسع	ˈdaːjir ˈnabʕat imiːl lilmuˈdiːr ˈhassaʕ	I want to send an email to the manager now	email	[tech] English loan email→imiːl (West Sudanic has no mid /eː/; total nativisation projects to nearest [iː], no drop). English is the tech-register CS layer (with Hausa) in Borno. qaf→[ɡ] داير frame (owens1993). en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] English loans laptop→labtub (/p/→[b]); wifi→wifi. native جديد→[dʒaˈdiːd] shows Nigerian jīm ج→[dʒ] (owens1993; owens2006). en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-003	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fil ˈbass dawnloːud bɑˈtˤiːʔ	I downloaded a file but the download is slow	file;download	[tech] English loans file→fil; download→dawnlaud (/aʊ/→[aw], diphthong retained — Bedouin West Sudanic type; owens1993). en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-004	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imiːl	I forgot the password of the email	password;email	[tech] English loans password→baswuːrd; email→imiːl (no /eː/→[iː]). تاع genitive exponent. en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-005	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar	I have an important meeting with a manager	meeting;manager	[work] English loans meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar (loan /dʒ/, matching native jīm→[dʒ] in ar-NG; owens1993). en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-006	شُفْت video عَلَى online	شفت video على online	ˈʃuft fidiu ˈʕalaː unlin	I saw a video online	video;online	[daily] English loans video→fidiu (/v/→[f]); online→unlin. en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-007	فِي ثَلاثَة offers كْوَيّسِين	في ثلاثة offers كويسين	ˈfiː taˈlaːta ufars kwajjˈsiːn	there are three good offers	offers	[commerce] English loan offers→ufars. INTERDENTAL MERGER: native ثلاثة 'three'→[taˈlaːta], ث→[t] — Nigerian Arabic has fully lost the interdentals, merging them into the stops (owens2006 p.25), the delta from the more conservative Chadian parent (ar-TD) which variably retains θ. en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-008	دَفَعْت cash مَا card	دفعت cash ما card	daˈfaʕt kaʃ ˈmaː kaːrd	I paid cash not card	cash;card	[commerce] English loans cash→kaʃ; card→kaːrd. ما-negation. en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-009	دَا service مَا كْوَيِّس وْ delivery مِتْأَخِّر	دا service ما كويس و delivery متأخر	ˈdaː sarfis ˈmaː ˈkwajjis w dilifari mitˈʔaxxir	this service is not good and the delivery is late	service;delivery	[commerce] English loans service→sarfis (/v/→[f]); delivery→dilifari. دا demonstrative + ما-negation. en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
ar-NG-cs-010	مَا عَارِف بَسّ دَا model غَالِي	ما عارف بس دا model غالي	ˈmaː ˈʕaːrif ˈbass ˈdaː mudil ˈɣaːliː	I don't know but this model is expensive	model	[automotive] English loan model→mudil. دا 'this' demonstrative (West Sudanic; owens1993). en-GB donor, default pan-Arabic table (Watson 2002; Holes 2004).	pinned
